Area(23 Markets),Country/Area(23 Markets),Year,Rate(%),Visitor Arrivals
East Asia,China,2024,0.172803007,"3,072,856"
East Asia,Hong Kong,2024,0.071762272,"1,276,107"
East Asia,South Korea,2024,0.249803486,"4,442,111"
East Asia,Taiwan,2024,0.167536065,"2,979,197"
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,2024,0.025980207,"461,991"
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,2024,0.015310850,"272,264"
Europe & Nordic Countries & Americas & Australia & Middle East,France,2024,0.010365573,"184,325"
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,2024,0.008865215,"157,645"
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,2024,0.005405113,"96,116"
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,2024,0.003600072,"64,018"
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,2024,0.004231032,"75,238"
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,2024,0.004142855,"73,670"
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,2024,0.002311046,"41,096"
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,2024,0.003707875,"65,935"
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,2024,0.012286909,"218,491"
Europe & Nordic Countries & Americas & Australia & Middle East,United States,2024,0.075520365,"1,342,935"
Others,Others,2024,0.038178882,"678,913"
Southeast Asia & India,India,2024,0.006854691,"121,893"
Southeast Asia & India,Indonesia,2024,0.014836112,"263,822"
Southeast Asia & India,Malaysia,2024,0.013597529,"241,797"
Southeast Asia & India,Philippines,2024,0.022593491,"401,767"
Southeast Asia & India,Singapore,2024,0.016872111,"300,027"
Southeast Asia & India,Thailand,2024,0.034770854,"618,310"
Southeast Asia & India,Vietnam,2024,0.018664387,"331,898"
